"Job_ID","Pipeline_ID","Scan_Type","Severity","Vulnerability_Count","Arrival_Time_Min","Service_Time_Min","Risk_Score","Developer_Experience","Code_Change_Size"
1,"PL-0049","SAST","High",8,0.11,5.61,84.03,"Junior","Medium"
2,"PL-0153","SCA","Medium",3,0.34,2.17,48.76,"Senior","Large"
3,"PL-0074","SAST","Medium",2,2.28,2.71,53.39,"Intermediate","Small"
4,"PL-0228","SAST","Low",1,3.99,3.78,27.6,"Junior","Large"
5,"PL-0146","IaC","Low",4,13.04,4.17,18.74,"Junior","Small"
6,"PL-0122","SCA","Medium",4,13.48,3.13,36.54,"Junior","Small"
7,"PL-0049","SCA","Medium",5,14.71,3.04,41.73,"Senior","Medium"
8,"PL-0128","DAST","High",5,16.42,7.19,74.06,"Junior","Medium"
9,"PL-0024","SAST","Medium",2,18.02,5.11,61.09,"Intermediate","Medium"
10,"PL-0089","SAST","Medium",2,18.97,3.68,43.38,"Junior","Small"
11,"PL-0165","IaC","Critical",15,19.12,6.28,100,"Intermediate","Large"
12,"PL-0110","SAST","Low",4,21.78,3.66,30.12,"Intermediate","Small"
13,"PL-0020","DAST","Critical",4,21.8,5.77,100,"Junior","Small"
14,"PL-0297","Container","Medium",4,21.82,5.97,55.21,"Intermediate","Small"
15,"PL-0089","SCA","High",9,26.88,4.3,70.46,"Junior","Large"
16,"PL-0283","SCA","Low",3,29.85,3.29,17.34,"Senior","Medium"
17,"PL-0109","IaC","Critical",4,32.59,2.83,98.05,"Intermediate","Large"
18,"PL-0005","SCA","Critical",7,32.98,3.95,87.91,"Intermediate","Small"
19,"PL-0212","IaC","Medium",5,33.76,3.38,51.05,"Junior","Medium"
20,"PL-0259","DAST","Medium",4,35.62,5.44,45.65,"Senior","Medium"
21,"PL-0298","Container","Low",2,36.09,6.4,29.78,"Intermediate","Medium"
22,"PL-0024","SCA","Medium",6,47.36,2.73,50.73,"Intermediate","Medium"
23,"PL-0158","SAST","Medium",3,49.9,3.52,41.63,"Junior","Medium"
24,"PL-0299","DAST","Low",3,50.16,4.32,18.84,"Senior","Large"
25,"PL-0136","SCA","Medium",2,52.91,2.37,46.41,"Intermediate","Large"
26,"PL-0292","SAST","Medium",6,53.82,3.87,56.27,"Junior","Small"
27,"PL-0146","Container","Medium",4,54.16,6.16,62.98,"Junior","Medium"
28,"PL-0109","SAST","Medium",1,54.4,3.3,45.33,"Senior","Large"
29,"PL-0197","SAST","High",6,64.81,5.34,68.43,"Junior","Small"
30,"PL-0004","Container","Medium",4,66.27,6.82,73.29,"Junior","Large"
31,"PL-0226","SAST","Medium",5,68.88,3.99,54.67,"Junior","Small"
32,"PL-0215","SCA","Medium",3,70.31,3.24,48.89,"Intermediate","Medium"
33,"PL-0245","SAST","High",7,71.61,4.15,97.14,"Intermediate","Small"
34,"PL-0114","DAST","Low",1,72.93,6.48,24.38,"Senior","Small"
35,"PL-0262","SAST","High",10,73.54,4.85,86.54,"Junior","Medium"
36,"PL-0130","SAST","Medium",3,74.07,3.11,48.11,"Junior","Medium"
37,"PL-0003","IaC","Critical",13,82.02,5.02,100,"Intermediate","Small"
38,"PL-0258","DAST","High",10,84.54,7.34,93.04,"Junior","Small"
39,"PL-0186","DAST","Low",1,84.58,4.38,26.38,"Intermediate","Small"
40,"PL-0138","SAST","Low",2,86.9,4.24,27.25,"Junior","Large"
41,"PL-0040","SAST","Low",4,88.47,4.92,23.45,"Senior","Small"
42,"PL-0005","SAST","Medium",4,90.32,3.78,43.41,"Senior","Large"
43,"PL-0033","SCA","Low",2,91.02,2.92,14.47,"Junior","Small"
44,"PL-0103","SCA","Medium",6,93.15,2.7,58.61,"Senior","Medium"
45,"PL-0228","SAST","Medium",5,96.41,3.75,52.48,"Senior","Small"
46,"PL-0109","Container","Low",1,96.41,5.8,7.75,"Intermediate","Medium"
47,"PL-0157","DAST","Critical",9,97.81,6.83,100,"Junior","Medium"
48,"PL-0076","SAST","Medium",4,98.81,3.99,55.85,"Junior","Small"
49,"PL-0265","SCA","Medium",4,101.13,2.1,48.15,"Senior","Medium"
50,"PL-0035","SAST","Medium",7,105.42,5.17,67.81,"Senior","Small"
51,"PL-0221","IaC","High",5,105.64,3.98,79.18,"Intermediate","Large"
52,"PL-0016","SAST","Medium",3,108.03,3.84,38.91,"Junior","Small"
53,"PL-0220","DAST","Medium",3,111.9,5.23,52.57,"Junior","Medium"
54,"PL-0248","DAST","Low",1,111.93,4.44,17.87,"Senior","Large"
55,"PL-0118","SAST","Medium",7,112.46,2.95,62.59,"Intermediate","Large"
56,"PL-0130","DAST","Medium",3,114.05,5.69,39.12,"Senior","Small"
57,"PL-0082","SAST","Critical",16,114.55,5.02,100,"Junior","Small"
58,"PL-0110","SAST","Medium",2,114.63,3.78,54.56,"Junior","Small"
59,"PL-0296","SAST","Low",3,114.72,3.7,24.27,"Intermediate","Small"
60,"PL-0149","DAST","High",6,117.08,7.06,82.23,"Junior","Medium"
61,"PL-0057","SCA","Medium",6,119.43,3.67,47.99,"Senior","Medium"
62,"PL-0100","SCA","Low",2,124.61,3.49,21.27,"Intermediate","Medium"
63,"PL-0298","Container","Low",2,127.62,3.4,22.19,"Intermediate","Small"
64,"PL-0091","SAST","Medium",6,130.61,4.6,61.36,"Junior","Small"
65,"PL-0269","SAST","Medium",2,130.67,4.18,49.82,"Senior","Small"
66,"PL-0181","Container","Low",5,132.64,5.94,31.57,"Senior","Medium"
67,"PL-0054","DAST","Low",2,134.29,5.86,18.01,"Intermediate","Small"
68,"PL-0288","SCA","Low",4,134.51,1.98,21.52,"Junior","Medium"
69,"PL-0208","DAST","High",6,138.67,6.24,72.82,"Intermediate","Medium"
70,"PL-0246","DAST","Medium",2,142.47,3.92,54.14,"Senior","Small"
71,"PL-0060","DAST","Medium",4,143.88,5.57,51.51,"Intermediate","Large"
72,"PL-0285","SCA","High",11,145.68,4.56,87.93,"Intermediate","Large"
73,"PL-0108","SAST","Critical",8,147.65,5.34,100,"Junior","Small"
74,"PL-0126","IaC","Medium",4,148.14,4.09,44.75,"Intermediate","Medium"
75,"PL-0112","SCA","High",10,148.34,3.76,88.53,"Junior","Large"
76,"PL-0072","SCA","Low",1,149,3.22,25.4,"Intermediate","Large"
77,"PL-0285","DAST","High",10,150.37,7.96,88.34,"Junior","Medium"
78,"PL-0001","Container","Medium",8,150.4,5.46,58.65,"Intermediate","Small"
79,"PL-0141","Container","Medium",6,156.97,5.54,58.4,"Junior","Large"
80,"PL-0206","Container","Critical",9,161.29,6.32,100,"Intermediate","Small"
81,"PL-0299","SAST","Critical",6,164.68,4.02,97.63,"Junior","Medium"
82,"PL-0042","Container","Critical",13,173.29,6.47,100,"Senior","Medium"
83,"PL-0042","SCA","Medium",4,173.6,4.19,40.18,"Senior","Small"
84,"PL-0248","Container","Medium",4,177.54,6.29,41.35,"Junior","Medium"
85,"PL-0251","DAST","Low",4,178.07,5.74,32.02,"Junior","Large"
86,"PL-0157","SCA","Medium",2,182.35,4.08,47.29,"Intermediate","Large"
87,"PL-0025","SAST","Low",3,187.07,2.75,21.62,"Senior","Medium"
88,"PL-0191","SCA","Medium",1,187.16,2.06,51.29,"Senior","Large"
89,"PL-0032","Container","Critical",6,187.2,5.77,95.88,"Senior","Small"
90,"PL-0238","IaC","High",9,189.75,4.39,93.46,"Intermediate","Small"
91,"PL-0014","SAST","Low",1,191.96,3.78,27.5,"Junior","Medium"
92,"PL-0111","DAST","Medium",2,196.01,5.49,40.32,"Intermediate","Small"
93,"PL-0262","SAST","Low",1,198.72,2.43,24.93,"Junior","Medium"
94,"PL-0299","SAST","High",8,199.75,5.01,74.24,"Junior","Large"
95,"PL-0208","DAST","High",8,202.02,6.49,86.81,"Senior","Medium"
96,"PL-0246","IaC","Medium",4,204.3,4.76,50.06,"Junior","Small"
97,"PL-0242","SAST","High",5,205.4,5.39,72.49,"Junior","Medium"
98,"PL-0287","Container","High",7,208.83,5.61,80.16,"Senior","Small"
99,"PL-0224","SAST","Medium",6,212.63,5.46,52.66,"Senior","Small"
100,"PL-0262","SAST","High",9,214.8,6.04,81.69,"Junior","Small"
101,"PL-0214","SAST","High",9,215.75,3.29,95.84,"Senior","Large"
102,"PL-0294","Container","Medium",3,216.49,5.91,39.83,"Intermediate","Small"
103,"PL-0095","SAST","Low",3,218.61,2.71,29.08,"Junior","Medium"
104,"PL-0006","SCA","High",5,218.94,3.82,76.56,"Intermediate","Small"
105,"PL-0252","Container","Medium",3,219.18,4.85,47.65,"Intermediate","Medium"
106,"PL-0271","Container","High",5,219.74,5.4,80.98,"Junior","Small"
107,"PL-0034","SAST","Low",1,222.86,4.36,16.02,"Junior","Large"
108,"PL-0188","SAST","High",9,230.29,4.74,92.66,"Intermediate","Medium"
109,"PL-0254","DAST","Medium",2,231.38,4.56,49.83,"Intermediate","Small"
110,"PL-0268","SAST","High",5,232.6,5.27,74.41,"Junior","Small"
111,"PL-0128","Container","High",6,233.99,4.71,96.41,"Junior","Small"
112,"PL-0041","IaC","High",5,234.21,5.12,72.25,"Junior","Medium"
113,"PL-0193","SAST","High",5,237.21,4.79,74.83,"Intermediate","Small"
114,"PL-0066","DAST","High",8,239.59,6.97,80.01,"Senior","Large"
115,"PL-0152","SCA","Medium",6,240.05,1.59,38.25,"Senior","Small"
116,"PL-0098","SAST","Medium",5,242.69,2.94,59.37,"Junior","Small"
117,"PL-0025","Container","Medium",4,243.6,3.96,44.42,"Intermediate","Medium"
118,"PL-0107","SAST","Low",3,246.54,2.37,24.2,"Intermediate","Medium"
119,"PL-0014","SAST","High",1,249.97,2.33,74.47,"Senior","Medium"
120,"PL-0162","IaC","High",6,251.22,4.35,79.18,"Intermediate","Small"
121,"PL-0124","SAST","Medium",6,252.69,4.37,59.45,"Senior","Large"
122,"PL-0194","IaC","High",8,254.34,3.69,87.06,"Junior","Small"
123,"PL-0095","IaC","Medium",8,255.59,5.25,61.19,"Senior","Small"
124,"PL-0032","SAST","Low",2,256.18,3.17,17.88,"Junior","Medium"
125,"PL-0185","SCA","Low",1,259.39,2.61,25.35,"Junior","Medium"
126,"PL-0284","SAST","Low",1,262.49,3.22,8.8,"Senior","Medium"
127,"PL-0118","DAST","Critical",9,262.62,5.66,96.8,"Intermediate","Small"
128,"PL-0037","IaC","Medium",8,270.58,6,58.82,"Junior","Medium"
129,"PL-0138","Container","Low",1,272.48,6.26,20.98,"Junior","Small"
130,"PL-0261","Container","Medium",1,273.33,3.58,42.23,"Junior","Small"
131,"PL-0035","DAST","Medium",2,274.39,5.54,57.23,"Intermediate","Medium"
132,"PL-0078","Container","Medium",6,282.38,4.13,49.39,"Intermediate","Medium"
