"Threat","Type","Direction","Vector","Pattern","Medium","Speed","Impact","Mutation","Attack_Strength","Speed_N","Impact_N","Attack_N","Propagation_Score","Risk_Level"
"AI_Attack","External","Forward","API","Linear","Wired",18.89,23.87,0.39,51.06,0.161518987341772,0.140328336902213,0.421225710014948,0.231,"Low"
"AI_Attack","Internal","Downward","Email","Random","Wired",33.31,48.97,0.42,48.47,0.307544303797468,0.31948608137045,0.395416043846537,0.339,"Medium"
"Insider_Malware","External","Forward","USB","Circular","Hybrid",44.92,72.95,0.09,57.59,0.425113924050633,0.490649536045682,0.486297957149975,0.47,"Medium"
"Hacker_Passive","External","Backward","Network","Circular","Wireless",39.49,59.79,0.68,60.88,0.370126582278481,0.396716630977873,0.519083208769307,0.425,"Medium"
"Weak_Password","External","Upward","API","Random","Hybrid",70.2,16.64,0.52,54.46,0.681113924050633,0.088722341184868,0.455107125062282,0.376,"Medium"
"Supply_Chain","Internal","Cross","USB","Linear","Wired",49.09,53.3,0.88,48.78,0.467341772151899,0.350392576730906,0.398505231689088,0.4,"Medium"
"Virus","Internal","Downward","Network","Circular","Hybrid",55.32,102.28,0.69,70.94,0.530430379746835,0.7,0.619332336821126,0.625,"High"
"Weak_Password","External","Cross","Cloud","Random","Wired",60.61,45.82,0.19,69.92,0.584,0.297002141327623,0.609167912306926,0.477,"Medium"
"Data_Leak","External","Cross","Cloud","Circular","Hybrid",52.29,73.34,0.15,84.73,0.499746835443038,0.493433261955746,0.756751370204285,0.574,"Medium"
"Insider_Malware","External","Upward","API","Linear","Wired",64.42,60.12,0.05,45.17,0.622582278481013,0.399072091363312,0.362531141006477,0.455,"Medium"
"Supply_Chain","External","Forward","Cloud","Circular","Wireless",56.6,70.37,0.19,44.88,0.543392405063291,0.472234118486795,0.359641255605381,0.46,"Medium"
"AI_Attack","External","Cross","Email","Linear","Wired",60.47,66.45,0.89,47.77,0.582582278481013,0.444254104211278,0.388440458395615,0.469,"Medium"
"Data_Leak","Internal","Backward","Email","Circular","Wireless",27.71,67.28,0.13,42.79,0.250835443037975,0.450178443968594,0.338814150473343,0.357,"Medium"
"Data_Leak","External","Downward","Network","Linear","Hybrid",33.11,67.55,0.98,89.76,0.305518987341772,0.452105638829408,0.806875934230194,0.515,"Medium"
