"Record_ID","Threat","Vulnerability","Attack_Type","Severity","CVSS_Score","Detection_Time","Response_Time","Security_Control_Effectiveness","Attack_Success","Risk_Score","CVSS_Norm","Detection_Norm","Response_Norm","Risk_Norm","Attack_Probability","Detection_Probability","Recovery_Time"
1,"Malware","Weak Encryption","Network Attack","Medium",5.2,18.53,28.13,77.23,"Yes",47.22,0.45823927765237,0.293603635092625,0.373092494549984,0.492711990637302,0.5,0.76,34.63
2,"DDoS","Missing Security Patch","Network Attack","Medium",4.2,9.63,9.1,92.92,"No",19.3,0.345372460496614,0.138063614120937,0.0767673621924634,0.195659112671561,0.32,0.86,21.62
3,"Phishing","System Misconfiguration","Web Attack","Medium",5.02,9.95,27.52,60.66,"No",30.01,0.437923250564334,0.143656064313177,0.36359389598256,0.30960740504309,0.39,0.66,19.13
4,"Insider Threat","Outdated Software","Web Attack","High",6.95,19.34,19.7,56.35,"No",47.9,0.655756207674944,0.307759524641734,0.24182497664279,0.499946802851367,0.5,0.64,35.26
5,"Insider Threat","Weak Password","Network Attack","High",7.61,16.52,33.9,92.85,"No",45.96,0.730248306997743,0.258476057322614,0.462939894113983,0.479306309181828,0.49,0.86,27.24
6,"Malware","Outdated Software","Web Attack","Medium",3.94,10.38,12.99,79.29,"Yes",34.85,0.316027088036117,0.151170919259,0.137340392401121,0.361102244919672,0.42,0.78,27.7
7,"Phishing","Weak Encryption","Network Attack","High",8.65,27.91,40.53,41.74,"No",65.49,0.847629796839729,0.457532331352674,0.566178760510744,0.687094371741675,0.61,0.55,45.21
8,"Insider Threat","System Misconfiguration","Network Attack","Low",3.46,8.56,11.9,65.91,"Yes",32.78,0.261851015801354,0.119363858790633,0.120367486764248,0.339078625385679,0.4,0.7,27.43
9,"DDoS","Insecure API","Social Engineering","Low",3.36,8.37,10.43,66.12,"No",16.93,0.250564334085779,0.11604334148899,0.097477421364061,0.170443664219598,0.3,0.7,21.95
10,"Phishing","Weak Password","Web Attack","Low",3.07,5.09,14.54,56.45,"Yes",30.07,0.217832957110609,0.058720727018525,0.161476175646216,0.310245770826684,0.39,0.64,21.8
