"Record_ID","Threat","Vulnerability","Attack_Type","Severity","CVSS_Score","Detection_Time","Response_Time","Security_Control_Effectiveness","Attack_Success","Risk_Score"
1,"Malware","Weak Encryption","Network Attack","Medium",5.2,18.53,28.13,77.23,"Yes",47.22
2,"DDoS","Missing Security Patch","Network Attack","Medium",4.2,9.63,9.1,92.92,"No",19.3
3,"Phishing","System Misconfiguration","Web Attack","Medium",5.02,9.95,27.52,60.66,"No",30.01
4,"Insider Threat","Outdated Software","Web Attack","High",6.95,19.34,19.7,56.35,"No",47.9
5,"Insider Threat","Weak Password","Network Attack","High",7.61,16.52,33.9,92.85,"No",45.96
6,"Malware","Outdated Software","Web Attack","Medium",3.94,10.38,12.99,79.29,"Yes",34.85
7,"Phishing","Weak Encryption","Network Attack","High",8.65,27.91,40.53,41.74,"No",65.49
8,"Insider Threat","System Misconfiguration","Network Attack","Low",3.46,8.56,11.9,65.91,"Yes",32.78
9,"DDoS","Insecure API","Social Engineering","Low",3.36,8.37,10.43,66.12,"No",16.93
10,"Phishing","Weak Password","Web Attack","Low",3.07,5.09,14.54,56.45,"Yes",30.07
11,"Insider Threat","Outdated Software","Web Attack","Low",3.54,7.83,9.78,62.96,"Yes",33.45
12,"Phishing","Outdated Software","Web Attack","Low",3.3,5.83,8.85,85.76,"No",12.58
13,"DDoS","SQL Injection","Network Attack","Medium",4.47,21.93,25.63,64.64,"Yes",45.39
14,"DDoS","Weak Password","Social Engineering","Medium",5.19,22.66,28.12,51.39,"No",37.72
15,"Malware","Weak Encryption","Network Attack","Critical",9.22,33.42,41.62,70.15,"No",67.38
16,"Insider Threat","Insecure API","Network Attack","Medium",6.11,19.62,29,79.31,"No",38.73
17,"Malware","Weak Password","Social Engineering","Medium",4.77,6.98,8.95,93.28,"No",22.2
18,"Malware","Weak Password","Social Engineering","High",8.77,56.15,41.57,46.46,"Yes",91.89
19,"Phishing","Missing Security Patch","Social Engineering","High",7.23,17.03,22.61,41.04,"Yes",66.27
20,"Insider Threat","Missing Security Patch","Network Attack","Medium",5.56,17.16,33.21,58.75,"Yes",51.97
21,"Insider Threat","Cross Site Scripting","Web Attack","Low",3.74,8.97,14.52,86.76,"Yes",31.77
22,"DDoS","Insecure API","Network Attack","Critical",10,40.43,33.58,90.4,"No",72.61
23,"DDoS","Insecure API","Social Engineering","High",7.98,23.87,22.21,52.29,"Yes",72.54
24,"Insider Threat","Open Port","Social Engineering","High",7.36,16.03,26.97,41.66,"No",51.69
25,"DDoS","Privilege Escalation","Social Engineering","High",7.26,15.95,24.33,85.48,"Yes",59.4
26,"DDoS","SQL Injection","Network Attack","Critical",8.95,36.58,38.81,61.65,"Yes",83
27,"Phishing","Outdated Software","Network Attack","Critical",9.21,38.82,42.69,58,"Yes",86.31
28,"DDoS","Outdated Software","Web Attack","Low",2.52,9.27,16.28,46.19,"No",14.43
29,"Malware","Missing Security Patch","Network Attack","High",7.44,21.49,22.58,84.31,"No",48.05
30,"Malware","Missing Security Patch","Web Attack","Low",3.07,6.82,10.76,60.16,"Yes",30.23
31,"Insider Threat","Open Port","Network Attack","Critical",9.2,36.79,30.15,62.67,"No",69.69
32,"Insider Threat","Weak Encryption","Web Attack","Low",2.01,7.95,12.45,51.61,"Yes",24.52
33,"DDoS","Cross Site Scripting","Network Attack","Low",1.65,6.37,12.08,54.89,"Yes",20.89
34,"DDoS","Cross Site Scripting","Network Attack","Critical",9.72,20.91,34.96,79.96,"Yes",79.43
35,"Malware","Outdated Software","Web Attack","Medium",5.23,18.7,26.65,46.03,"Yes",52.17
36,"Phishing","Insecure API","Network Attack","High",8.48,23.71,39.96,69.05,"Yes",73.46
37,"DDoS","Open Port","Network Attack","Medium",5.7,17.19,33.11,48.76,"Yes",54.43
38,"Malware","Missing Security Patch","Web Attack","Medium",5.59,18.31,21.47,48.29,"Yes",54.21
39,"Phishing","Missing Security Patch","Web Attack","Medium",5.08,20.54,19.75,59.71,"Yes",49.85
40,"Malware","SQL Injection","Web Attack","High",8.66,18.37,25.3,84.99,"No",55.23
41,"Malware","System Misconfiguration","Web Attack","Low",3.45,11.69,13.99,66.61,"Yes",33.81
42,"Phishing","Missing Security Patch","Network Attack","High",8.52,26.84,36.69,58.62,"No",61.61
43,"Phishing","Insecure API","Network Attack","High",8.15,43.5,43.49,78.31,"No",62.71
44,"Phishing","Privilege Escalation","Network Attack","Medium",5.52,21.17,31.73,47.5,"No",39.97
45,"Malware","SQL Injection","Social Engineering","Medium",5.57,16.22,26.73,65.83,"Yes",50.64
46,"Malware","System Misconfiguration","Network Attack","High",8.7,37.84,58.71,70.76,"No",65.4
47,"Malware","SQL Injection","Network Attack","High",8.66,33.04,48.88,89.01,"Yes",75.47
48,"Phishing","Weak Encryption","Network Attack","Low",3.46,9.26,11.33,45.77,"Yes",36.06
49,"Malware","Weak Password","Web Attack","Critical",9.01,24.05,45.11,45.91,"No",65.81
50,"Insider Threat","Missing Security Patch","Social Engineering","Low",3.09,5.62,10.76,61.77,"Yes",29.59
51,"Malware","Open Port","Network Attack","Medium",6.53,18.37,28.47,79.08,"No",41.23
52,"Phishing","Open Port","Web Attack","High",7.05,21.31,23.38,63.14,"Yes",63.38
53,"DDoS","Cross Site Scripting","Web Attack","Low",2.44,7.44,15.51,85.12,"No",7.27
54,"Malware","Outdated Software","Network Attack","High",8.61,23.54,48.93,44.14,"No",63.1
55,"DDoS","SQL Injection","Social Engineering","Medium",6.45,16.4,25.87,78.23,"Yes",55
56,"Malware","Insecure API","Social Engineering","Critical",9.66,44.09,41.35,75.48,"No",73.93
57,"Malware","Outdated Software","Network Attack","Low",3.51,5.09,9.82,64.68,"No",16.89
58,"DDoS","Insecure API","Web Attack","High",8.01,23.99,23.85,68.19,"No",55.42
59,"Insider Threat","Outdated Software","Network Attack","High",8.22,25.43,62.01,56.87,"Yes",74.15
60,"Phishing","Missing Security Patch","Social Engineering","High",8.78,30.84,53.62,68.1,"Yes",78.58
61,"DDoS","Missing Security Patch","Network Attack","High",7.93,40.09,56.53,44.36,"No",64.89
62,"Malware","Missing Security Patch","Social Engineering","Medium",6.01,23.81,28.21,90.57,"Yes",53.01
63,"Phishing","SQL Injection","Network Attack","Medium",5.59,20.3,21.48,43.37,"No",40.74
64,"Malware","Weak Encryption","Network Attack","Medium",5.72,21.1,22.62,86.88,"No",35.44
65,"Insider Threat","Privilege Escalation","Network Attack","Medium",6.18,22.08,18.97,81.67,"No",39.83
66,"Phishing","Weak Password","Web Attack","High",7.64,26.17,28.07,42.36,"No",57.56
67,"Insider Threat","Outdated Software","Web Attack","Medium",6.58,16.01,27.45,60.64,"Yes",58.37
68,"Insider Threat","Weak Encryption","Social Engineering","Medium",5.75,19.15,21.57,41.78,"No",41.63
69,"DDoS","Weak Password","Network Attack","Medium",4.13,9.38,15.73,43.57,"No",26.13
70,"Phishing","Privilege Escalation","Social Engineering","Critical",10,30.47,52.73,42.28,"No",75.85
71,"DDoS","SQL Injection","Web Attack","Medium",4.92,16.17,29.73,78.33,"Yes",44.13
72,"DDoS","Privilege Escalation","Social Engineering","Medium",5.54,19.38,20.5,64.76,"No",36.79
73,"DDoS","Missing Security Patch","Web Attack","Medium",5.87,17.84,21.94,83.18,"No",35.72
74,"Malware","Cross Site Scripting","Web Attack","Medium",4.45,18.97,27.37,70.47,"No",28.16
75,"Phishing","Weak Encryption","Network Attack","High",8.8,31.58,52.2,40.87,"Yes",83.07
76,"Malware","Cross Site Scripting","Web Attack","High",7.17,8.51,30.62,50.15,"No",46.07
77,"Phishing","Missing Security Patch","Network Attack","High",7.45,32.59,36.13,93.18,"No",51.24
78,"DDoS","System Misconfiguration","Social Engineering","Low",3,10.63,13.6,46.92,"Yes",33.19
79,"Phishing","SQL Injection","Social Engineering","Medium",6.64,9.69,25.98,89.04,"Yes",52.03
80,"Malware","Outdated Software","Social Engineering","Medium",6.77,21.44,20.13,65.08,"No",46.18
81,"Malware","SQL Injection","Social Engineering","Critical",9.36,25.23,58.91,45.65,"No",68.74
82,"DDoS","Outdated Software","Web Attack","Low",2.86,9.53,12.95,69.23,"Yes",28.46
83,"Phishing","Outdated Software","Social Engineering","Low",2.65,10.29,12.1,51.58,"No",14.92
84,"DDoS","Outdated Software","Web Attack","High",6.94,18.87,29.34,40.23,"No",50.07
85,"Malware","Outdated Software","Web Attack","High",8.72,42.81,42.18,72.04,"No",67.32
86,"Phishing","Weak Encryption","Network Attack","Medium",3.92,8.76,14.53,85.63,"Yes",33.11
87,"Insider Threat","Weak Encryption","Network Attack","Low",3,8.36,10.26,75.32,"No",13.07
88,"Insider Threat","Weak Password","Social Engineering","High",7.02,15.45,33.66,93.14,"Yes",56.33
89,"Insider Threat","Open Port","Network Attack","Medium",4.13,7.97,15.62,46.43,"Yes",40.15
90,"Malware","Privilege Escalation","Network Attack","High",8.64,38.94,49.23,74.97,"No",64.82
91,"Malware","Weak Password","Web Attack","Medium",6.58,15.61,18.75,54.41,"No",44.15
92,"DDoS","System Misconfiguration","Web Attack","Low",2.15,7.09,14.05,40.21,"No",11.89
93,"Phishing","Privilege Escalation","Social Engineering","High",8.53,26.58,62.25,94.94,"Yes",71.12
94,"DDoS","Insecure API","Network Attack","Medium",6.83,25.79,31.07,63.46,"Yes",63.62
95,"Phishing","Insecure API","Web Attack","Medium",5.65,16.35,17.8,85.42,"No",33.28
96,"Malware","Weak Encryption","Social Engineering","Critical",9.22,46.37,37.64,54.85,"Yes",89.85
97,"DDoS","Weak Encryption","Social Engineering","Medium",5.12,21.53,17.42,90.48,"No",30.87
98,"Malware","Outdated Software","Social Engineering","Medium",5.04,9.14,6.86,48.22,"No",31.69
99,"Phishing","Outdated Software","Social Engineering","Medium",6.52,18.42,12.66,51.76,"Yes",60.24
100,"Phishing","Weak Password","Network Attack","Medium",6.16,15.65,20.56,89.9,"Yes",50.91
101,"DDoS","Insecure API","Network Attack","Medium",6.41,21.4,33.64,60.85,"Yes",59.34
102,"Phishing","Privilege Escalation","Network Attack","Low",3.83,20.97,20.24,43.53,"No",28.68
103,"Phishing","Weak Encryption","Web Attack","Critical",9.51,37.42,56.56,44.86,"Yes",89.81
104,"Insider Threat","SQL Injection","Social Engineering","Low",2.31,8.99,12.89,55.07,"No",11.53
105,"Phishing","Weak Encryption","Social Engineering","High",7.14,17.08,30.72,75.28,"Yes",60.54
106,"Insider Threat","System Misconfiguration","Web Attack","Medium",5.8,16.28,25.13,80.53,"Yes",50.03
107,"Insider Threat","Weak Password","Social Engineering","Medium",5.24,16.17,30.55,66.4,"Yes",48.17
108,"DDoS","Cross Site Scripting","Web Attack","Critical",9.86,42.8,41.6,41.43,"Yes",94.9
109,"Phishing","SQL Injection","Web Attack","Critical",8.92,35.69,34.93,94.43,"No",62.57
110,"Malware","Open Port","Social Engineering","Medium",6.43,14.7,19.7,62.41,"No",41.54
111,"Insider Threat","Outdated Software","Web Attack","Critical",9.21,30.04,43.85,60.63,"Yes",82.38
112,"Phishing","Missing Security Patch","Social Engineering","Medium",5.32,18.22,27.46,62.18,"Yes",50.23
113,"Malware","Weak Encryption","Network Attack","Critical",9.05,27.47,55.06,67.73,"Yes",79.19
114,"Insider Threat","Weak Encryption","Network Attack","High",7.54,19.49,25.79,49.71,"Yes",68.15
115,"DDoS","Cross Site Scripting","Network Attack","High",8.75,36.8,48.01,49.53,"Yes",83.57
116,"Malware","Weak Encryption","Network Attack","Medium",6.32,20.62,23.32,61.66,"No",43.26
117,"Phishing","Insecure API","Social Engineering","Medium",4.4,7.92,6.73,72.51,"Yes",38.12
118,"Insider Threat","System Misconfiguration","Social Engineering","Low",3.42,8.89,15.69,80.85,"Yes",30.37
119,"DDoS","Missing Security Patch","Network Attack","Medium",6.25,10.24,25.02,51.91,"No",40.09
120,"Phishing","Weak Password","Network Attack","Medium",5.12,14.1,19.87,61.84,"Yes",47.21
121,"DDoS","Privilege Escalation","Network Attack","Low",2.86,10.27,9.51,48.22,"No",16.9
122,"Phishing","SQL Injection","Web Attack","Medium",5.8,18.74,29.45,64.22,"Yes",53.5
123,"Phishing","Open Port","Web Attack","High",8.23,29.22,40.85,65.22,"Yes",74.54
124,"Malware","Open Port","Network Attack","Low",2.56,9.84,5.45,72.22,"Yes",26.04
125,"Phishing","Privilege Escalation","Network Attack","High",8.33,24.91,29.35,50.08,"No",60.77
126,"Insider Threat","Cross Site Scripting","Web Attack","Medium",6.23,24.15,33.17,87.03,"Yes",55.19
127,"Malware","Insecure API","Network Attack","Medium",5.69,15.21,22.31,50.68,"Yes",53.34
128,"Malware","SQL Injection","Web Attack","Medium",4.07,2.88,12.74,70.8,"No",19.01
129,"Malware","SQL Injection","Network Attack","Low",3.18,6.51,5.98,78.22,"Yes",28.1
130,"DDoS","System Misconfiguration","Social Engineering","Medium",6.01,11.4,24.92,45.84,"Yes",54.79
131,"DDoS","Insecure API","Web Attack","Low",2.78,8.09,13.38,87.4,"Yes",24.62
132,"Insider Threat","Cross Site Scripting","Web Attack","Medium",5.75,13.91,21.94,94.07,"Yes",46.68
133,"DDoS","Outdated Software","Web Attack","Low",2.97,5.01,9.66,84.42,"Yes",25.1
134,"DDoS","Privilege Escalation","Network Attack","High",8.56,33.45,47.64,75.26,"No",62.04
135,"Phishing","SQL Injection","Web Attack","High",7.36,19.33,32.38,67.39,"Yes",64.16
136,"DDoS","System Misconfiguration","Network Attack","High",8.25,44.45,49.75,83.29,"No",63.01
137,"Insider Threat","Open Port","Web Attack","High",7.87,37.82,35.1,69.49,"No",59.76
138,"DDoS","Privilege Escalation","Web Attack","Critical",9.36,31.22,43.11,71.54,"Yes",82.3
139,"Insider Threat","Cross Site Scripting","Web Attack","Medium",5.59,14.59,33.51,52.34,"Yes",52.1
140,"Phishing","SQL Injection","Network Attack","Critical",9.39,39.73,45.59,78.15,"Yes",84.93
141,"Phishing","Outdated Software","Web Attack","Medium",4.09,9.32,16.81,73.88,"No",21.27
142,"Phishing","Cross Site Scripting","Web Attack","High",6.97,17.18,23.93,51.22,"No",47.94
143,"Malware","Open Port","Network Attack","High",8.37,32.45,43.11,86.26,"Yes",73.65
144,"Malware","Weak Encryption","Network Attack","Critical",9.56,18.7,39.39,46.13,"No",67.45
145,"Insider Threat","Outdated Software","Web Attack","High",8.61,26.02,57.95,49.11,"Yes",78.29
