"Threat_Source","Direction","Pattern","Medium","Attack_Strength","Propagation_Speed","Impact","Mutation","Vulnerability_Score","Risk_Score","Risk_Norm","Impact_Norm","Speed_Norm","Propagation_Probability","Threat_Type"
"Misconfiguration","Cross","Circular","USB",8.44,2.41,49.65,1,4.92,5.49,0.486092715231788,0.440970290419495,0.156666666666667,0.51,"Internal"
"Insider_Attack","Upward","Random","USB",5.31,8.31,95.42,0,3.92,7.46,0.747019867549669,0.95026148881718,0.812222222222222,0.85,"Internal"
"Weak_Password","Backward","Hybrid","Internal_System",1.03,6.67,74.92,0,4.09,5.05,0.427814569536424,0.722154222766218,0.63,0.64,"Internal"
"Virus","Downward","Random","Cloud",8.98,5.69,69.81,1,7.67,7.39,0.737748344370861,0.665294314009124,0.521111111111111,0.73,"External"
"Unpatched_System","Backward","Random","Email",3.81,7.74,15.48,1,4.28,3.74,0.254304635761589,0.0607544230555247,0.748888888888889,0.46,"Internal"
"Misconfiguration","Cross","Hybrid","Network",2.64,9.05,96.99,0,1.06,6.59,0.631788079470199,0.967731167241571,0.894444444444444,0.83,"Internal"
"Insider_Attack","Cross","Circular","Cloud",8.62,4.24,98.72,0,7.38,8.12,0.834437086092715,0.98698119505953,0.36,0.8,"Internal"
"Weak_Password","Backward","Linear","Internal_System",3.03,8.66,88.7,1,2.92,6.48,0.617218543046358,0.875486814287304,0.851111111111111,0.79,"Internal"
"Weak_Password","Upward","Circular","Cloud",5.8,8.49,10.64,1,4.67,4.33,0.332450331125828,0.0068988539000779,0.832222222222222,0.5,"Internal"
"Malware","Downward","Linear","Cloud",6.38,4.15,72.69,1,2.2,5.87,0.536423841059603,0.697340603093357,0.35,0.62,"External"
"Insider_Attack","Cross","Circular","Email",2.8,9.06,84.06,0,4.84,6.5,0.619867549668874,0.823856681873818,0.895555555555556,0.79,"Internal"
"Weak_Password","Cross","Circular","USB",9.1,5.37,77.35,1,7.32,7.63,0.76953642384106,0.749193279181039,0.485555555555556,0.75,"Internal"
"Hacker_Human","Backward","Linear","USB",5.66,9.7,95.19,0,8.76,8.32,0.860927152317881,0.947702236563926,0.966666666666667,0.93,"External"
"Insider_Attack","Cross","Linear","USB",4.64,9.97,28.08,1,5.16,5.03,0.425165562913907,0.200956937799043,0.996666666666667,0.61,"Internal"
"Insider_Attack","Upward","Linear","Email",6.61,5.95,58.91,1,8.99,6.43,0.610596026490066,0.544008011572271,0.55,0.66,"Internal"
"Insider_Attack","Forward","Circular","Cloud",5.05,9.47,46.24,1,3.21,5.58,0.498013245033113,0.403026593969066,0.941111111111111,0.67,"Internal"
"Data_Leak","Backward","Circular","Network",8.77,4.41,60.34,1,4.86,6.41,0.60794701986755,0.559919884277289,0.378888888888889,0.63,"Internal"
"Hacker_Human","Downward","Random","Email",9.11,1.25,80.77,0,4.42,6.66,0.641059602649007,0.787248247468566,0.0277777777777778,0.62,"External"
"Virus","Cross","Linear","USB",2.52,1.41,67.53,1,2.8,4.02,0.291390728476821,0.639924335150773,0.0455555555555555,0.45,"External"
"Virus","Cross","Linear","Internal_System",1.67,7.07,18.79,0,9.32,3.6,0.235761589403974,0.0975854011349727,0.674444444444445,0.45,"External"
"Data_Leak","Backward","Circular","Cloud",8.84,3.04,19.05,1,6.86,4.71,0.382781456953642,0.100478468899522,0.226666666666667,0.42,"Internal"
"Hacker_Human","Forward","Hybrid","Internal_System",1.93,2.98,74.53,1,8.28,4.98,0.418543046357616,0.717814621119395,0.22,0.55,"External"
"Unpatched_System","Backward","Random","Email",3.3,9.84,90.67,0,2.79,6.86,0.667549668874172,0.897407366195616,0.982222222222222,0.84,"Internal"
"Hacker_Human","Forward","Random","Internal_System",9.25,1.01,73.98,1,5.2,6.46,0.614569536423841,0.711694670079003,0.00111111111111111,0.59,"External"
"Virus","Upward","Hybrid","Network",7.48,1.13,50.73,0,8.75,5.37,0.470198675496689,0.452987648826082,0.0144444444444444,0.48,"External"
"Malware","Forward","Random","USB",4.62,9.64,14.73,1,3.56,4.26,0.32317880794702,0.0524090352731724,0.96,0.53,"External"
"Malware","Backward","Random","Email",2.01,6.48,63.9,0,6.66,5.12,0.437086092715232,0.599532658284188,0.608888888888889,0.62,"External"
"Malware","Upward","Circular","USB",9,2.87,69.59,0,6.52,6.71,0.647682119205298,0.662846333592968,0.207777777777778,0.63,"External"
"Phishing","Backward","Linear","Network",7.27,8.62,43.58,1,8.59,6.51,0.621192052980132,0.37342828530099,0.846666666666667,0.69,"External"
"Insider_Attack","Downward","Linear","USB",9.49,1.51,34.8,1,7.99,5.34,0.466225165562914,0.27573161232892,0.0566666666666667,0.45,"Internal"
"Unpatched_System","Cross","Linear","USB",9.87,2.14,77.72,0,8.04,7.3,0.725827814569536,0.753310337153666,0.126666666666667,0.67,"Internal"
"Malware","Forward","Circular","Internal_System",5.4,5.55,31.42,0,6.4,4.63,0.372185430463576,0.238121731389785,0.505555555555556,0.5,"External"
"Hacker_Human","Backward","Hybrid","Internal_System",8.38,2.57,54.02,1,7.68,5.96,0.548344370860927,0.489596083231334,0.174444444444444,0.55,"External"
"Weak_Password","Downward","Linear","USB",1.6,9.86,13.78,1,9.62,3.97,0.28476821192053,0.0418382107488595,0.984444444444444,0.52,"Internal"
"Insider_Attack","Backward","Random","Email",4.4,9.27,87.88,0,5.03,7.19,0.711258278145696,0.866362523645265,0.918888888888889,0.84,"Internal"
"Hacker_AI","Upward","Hybrid","Network",2.51,2.13,71.75,1,2.94,4.34,0.333774834437086,0.686881050406142,0.125555555555556,0.5,"External"
"Weak_Password","Cross","Hybrid","Network",8.44,7.37,46.06,0,4.83,6.33,0.597350993377484,0.401023700901302,0.707777777777778,0.66,"Internal"
"Unpatched_System","Backward","Random","USB",1.39,1.08,75.74,1,8.73,4.54,0.360264900662252,0.731278513408256,0.0088888888888889,0.49,"Internal"
"Unpatched_System","Downward","Linear","Cloud",9.09,9.4,64.21,1,4.32,7.61,0.766887417218543,0.602982085234227,0.933333333333333,0.81,"Internal"
"Unpatched_System","Backward","Hybrid","Cloud",5.5,7.69,69.24,1,3.48,6.31,0.594701986754967,0.658951819294537,0.743333333333333,0.72,"Internal"
"Weak_Password","Cross","Random","Email",3.16,2.5,91.21,0,3.05,5.4,0.474172185430464,0.90341604539891,0.166666666666667,0.6,"Internal"
"Data_Leak","Cross","Circular","Internal_System",8.31,5.03,20.93,1,4.63,4.8,0.394701986754967,0.121397574273951,0.447777777777778,0.47,"Internal"
"Insider_Attack","Backward","Random","Cloud",5.63,5.51,61.83,1,8.95,6.16,0.574834437086093,0.576499388004896,0.501111111111111,0.65,"Internal"
"Hacker_AI","Downward","Hybrid","Email",1.66,8.13,91.75,1,3.83,6.18,0.577483443708609,0.909424724602203,0.792222222222222,0.77,"External"
"Unpatched_System","Forward","Hybrid","Internal_System",4.71,5.3,57.31,0,6.15,5.38,0.471523178807947,0.526204517636586,0.477777777777778,0.59,"Internal"
"Weak_Password","Cross","Random","USB",5.62,6.66,89.75,1,9.8,7.59,0.764238410596027,0.887170357182597,0.628888888888889,0.81,"Internal"
"Malware","Downward","Circular","Cloud",4.96,5.21,55.14,1,1.87,4.92,0.410596026490066,0.502058528986314,0.467777777777778,0.56,"External"
"Data_Leak","Downward","Circular","Email",9.87,5.31,55.64,0,8.18,7.07,0.695364238410596,0.507622120841215,0.478888888888889,0.68,"Internal"
"Virus","Forward","Hybrid","Internal_System",6.44,5.81,55.52,1,4.29,5.74,0.519205298013245,0.506286858796039,0.534444444444444,0.62,"External"
"Malware","Backward","Hybrid","Network",9.6,5.53,42.41,0,4.28,6.11,0.568211920529801,0.360409480360521,0.503333333333333,0.6,"External"
"Virus","Upward","Circular","Cloud",5.47,9.45,35.33,1,7.79,5.72,0.516556291390728,0.281629019695115,0.938888888888889,0.65,"External"
"Virus","Upward","Random","Email",1.02,8.29,21.51,1,2.75,3.1,0.16953642384106,0.127851340825637,0.81,0.46,"External"
"Malware","Forward","Hybrid","Network",4,8.31,18.35,1,6.25,4.22,0.317880794701987,0.0926894403026594,0.812222222222222,0.51,"External"
"Phishing","Upward","Circular","USB",9.77,1.81,20.1,1,1.19,4.22,0.317880794701987,0.112162011794815,0.09,0.37,"External"
"Insider_Attack","Forward","Linear","Cloud",7.26,4.94,41.22,0,8.31,5.65,0.507284768211921,0.347168131745855,0.437777777777778,0.56,"Internal"
"Malware","Backward","Linear","Internal_System",7.01,7.99,68.6,0,2.63,6.71,0.647682119205298,0.651830421720263,0.776666666666667,0.74,"External"
"Virus","Downward","Random","Network",4.98,2.72,98.79,0,8.83,6.87,0.668874172185431,0.987760097919217,0.191111111111111,0.7,"External"
"Unpatched_System","Forward","Random","Email",9.15,5.13,95.94,0,9.73,8.58,0.895364238410596,0.956047624346278,0.458888888888889,0.84,"Internal"
"Data_Leak","Upward","Circular","Internal_System",9.64,5.96,33.75,1,4.9,5.92,0.543046357615894,0.264048069433626,0.551111111111111,0.58,"Internal"
"Weak_Password","Cross","Linear","Network",8.3,2.6,33.71,0,6.09,4.97,0.417218543046358,0.263602982085234,0.177777777777778,0.46,"Internal"
"Hacker_Human","Backward","Hybrid","Email",6.35,6.46,73.43,0,1.78,6.31,0.594701986754967,0.705574719038611,0.606666666666667,0.7,"External"
"Phishing","Backward","Random","USB",8.73,2.29,42.13,0,5.48,5.31,0.462251655629139,0.357293868921776,0.143333333333333,0.49,"External"
"Virus","Cross","Hybrid","Cloud",9.76,6.37,44.57,1,2.18,6.2,0.580132450331126,0.384444197173695,0.596666666666667,0.63,"External"
"Phishing","Upward","Random","Email",7.15,6.34,26.11,0,1.66,4.62,0.370860927152318,0.179036385890731,0.593333333333333,0.5,"External"
"Phishing","Backward","Linear","Email",3.8,1.86,13.22,1,4.52,2.49,0.0887417218543047,0.0356069878713698,0.0955555555555556,0.26,"External"
